,City,Country,Date,Lat,Lng,Max Temp,Clouds,Humidity,Wind Speed
0,Norman Wells,CA,1620875887,65.282,-126.8329,40.28,90,81,2.3
1,Muroto-misakicho,JP,1620875944,33.2833,134.15,71.56,100,84,10.85
2,Saskylakh,RU,1620875845,71.9167,114.0833,32.95,100,91,6.85
3,New Norfolk,AU,1620875861,-42.7826,147.0587,61.45,100,79,5.01
4,Cape Town,ZA,1620875575,-33.9258,18.4232,54.86,20,84,2.77
5,Celestún,MX,1620876075,20.8667,-90.4,84.88,86,69,14.88
6,Avarua,CK,1620875870,-21.2078,-159.775,78.69,75,78,14.97
7,Dingle,PH,1620875859,10.9995,122.6711,90.25,84,54,13.69
8,Atuona,PF,1620875855,-9.8,-139.0333,80.44,20,80,19.75
9,Mt. Pleasant,US,1620876021,32.7941,-79.8626,51.78,90,93,5.01
10,Arraial do Cabo,BR,1620875892,-22.9661,-42.0278,71.22,100,86,16.24
11,Roebourne,AU,1620876219,-20.7833,117.1333,87.08,0,29,14.25
12,Lebu,CL,1620875852,-37.6167,-73.65,53.56,100,86,10.47
13,Souillac,MU,1620875973,-20.5167,57.5167,75.83,40,82,13.06
14,Saint Paul Harbor,US,1620875861,57.79,-152.4072,43.88,90,70,11.5
15,Upernavik,GL,1620875841,72.7868,-56.1549,27.23,100,93,6.98
16,Qaanaaq,GL,1620875846,77.484,-69.3632,22.96,100,84,10.22
17,Kloulklubed,PW,1620876221,7.0419,134.2556,85.95,93,78,12.48
18,Vaini,TO,1620875843,-21.2,-175.2,76.77,40,78,10.36
19,Punta Arenas,CL,1620875582,-53.15,-70.9167,38.88,40,87,13.56
20,Arrondissement du Havre,FR,1620876221,49.5833,0.3333,46.92,90,91,12.39
21,Hermanus,ZA,1620875864,-34.4187,19.2345,54.66,5,85,4.79
22,Kushiro,JP,1620875938,42.975,144.3747,46.31,75,97,5.95
23,Ancud,CL,1620875894,-41.8697,-73.8203,50.43,100,91,3.78
24,Vila Franca do Campo,PT,1620876222,37.7167,-25.4333,62.29,70,87,4.85
25,Tereze,RU,1620876222,43.9361,42.4434,32.4,0,52,5.1
26,Hinjilikatu,IN,1620876223,19.4833,84.75,92.26,38,54,5.82
27,Ostrovnoy,RU,1620876223,68.0531,39.5131,45.77,77,81,6.51
28,Lázaro Cárdenas,MX,1620876192,17.9583,-102.2,80.6,96,78,3.22
29,Albany,US,1620875844,42.6001,-73.9662,47.62,66,77,5.19
30,Hong Kong,HK,1620875868,22.2855,114.1577,90.97,32,81,1.99
31,Busselton,AU,1620875867,-33.65,115.3333,59.95,99,56,16.49
32,East London,ZA,1620875859,-33.0153,27.9116,49.44,0,93,1.14
33,Chokurdakh,RU,1620875601,70.6333,147.9167,21.88,16,86,3.33
34,Mataura,NZ,1620875862,-46.1927,168.8643,53.38,4,52,1.66
35,Hilo,US,1620875790,19.7297,-155.09,80.22,90,70,6.91
36,Guerrero Negro,MX,1620875630,27.9769,-114.0611,60.91,0,81,13.4
37,Goderich,CA,1620876224,43.7501,-81.7165,37.85,1,87,0.0
38,Orlik,RU,1620875942,52.5178,99.825,40.75,80,41,6.11
39,Yar-Sale,RU,1620876224,66.8333,70.8333,33.48,100,84,28.95
40,Bjørnevatn,NO,1620876224,69.6672,29.9847,42.13,90,87,4.61
41,Rikitea,PF,1620875850,-23.1203,-134.9692,77.32,19,78,17.22
42,Geraldton,AU,1620875895,-28.7667,114.6,77.0,92,51,17.78
43,Bodden Town,KY,1620875948,19.2833,-81.25,82.33,20,77,9.04
44,Lavrentiya,RU,1620876225,65.5833,-171.0,33.58,100,97,1.45
45,Port Keats,AU,1620876225,-14.25,129.55,88.92,0,26,9.78
46,Araxá,BR,1620876225,-19.5933,-46.9406,52.81,0,63,2.3
47,Sur,OM,1620875956,22.5667,59.5289,89.17,39,45,4.94
48,Vestmanna,FO,1620876226,62.1564,-7.1664,37.13,75,77,16.6
49,Saint George,US,1620875706,37.1041,-113.5841,72.81,1,13,1.99
50,Grand-Lahou,CI,1620876226,5.1367,-5.0242,79.25,9,76,5.93
51,Kapaa,US,1620875842,22.0752,-159.319,82.35,75,70,5.99
52,Kaitangata,NZ,1620875882,-46.2817,169.8464,51.93,8,52,2.62
53,Dwārka,IN,1620876226,22.2394,68.9678,84.61,21,71,18.63
54,Olafsvik,IS,1620875959,64.8945,-23.7142,38.98,100,60,3.09
55,Kidal,ML,1620876227,18.4411,1.4078,91.18,67,10,9.71
56,Kencong,ID,1620876227,-8.2833,113.3667,84.76,94,62,5.19
57,San Vicente,AR,1620876227,-26.6167,-54.1333,43.54,0,81,3.13
58,Takoradze,GH,1620875957,4.8845,-1.7554,78.44,86,78,5.73
59,Sitka,US,1620875857,57.0531,-135.33,46.29,75,76,4.61
60,Novocheremshansk,RU,1620876228,54.3571,50.1666,62.49,16,59,8.9
61,Isla Vista,US,1620876228,34.4133,-119.861,60.85,90,73,8.05
62,Ushuaia,AR,1620875813,-54.8,-68.3,45.82,0,57,13.8
63,Isangel,VU,1620876229,-19.55,169.2667,79.84,100,68,11.56
64,Bluff,NZ,1620875854,-46.6,168.3333,53.71,2,55,3.2
65,Sørland,NO,1620875909,67.667,12.6934,40.24,100,90,30.29
66,Tuktoyaktuk,CA,1620875896,69.4541,-133.0374,14.0,75,79,14.97
67,Pingliang,CN,1620876230,35.5392,106.6861,72.52,2,57,11.72
68,Inhambane,MZ,1620876082,-23.865,35.3833,60.69,0,94,0.0
69,Yeppoon,AU,1620876230,-23.1333,150.7333,85.68,6,69,5.61
70,Saint-Philippe,RE,1620875868,-21.3585,55.7679,74.57,43,82,10.94
71,Aksu,CN,1620876231,41.1231,80.2644,63.23,100,34,6.26
72,Cabo San Lucas,MX,1620875765,22.8909,-109.9124,83.82,38,62,9.26
73,Itakyry,PY,1620876231,-24.9333,-55.2167,50.9,0,60,4.03
74,Kropotkin,RU,1620876232,45.4375,40.5756,45.09,0,88,4.61
75,Hirara,JP,1620875934,24.8,125.2833,85.75,40,79,19.57
76,Pevek,RU,1620875646,69.7008,170.3133,29.73,98,87,3.49
77,Simontornya,HU,1620876232,46.7546,18.5549,53.87,100,86,7.14
78,Bethel,US,1620875852,41.3712,-73.414,53.89,1,72,5.75
79,Hobart,AU,1620875704,-42.8794,147.3294,61.79,75,62,4.0
80,Ribeira Grande,PT,1620875851,38.5167,-28.7,62.58,19,89,9.37
81,Batesville,US,1620876233,35.7698,-91.641,56.01,1,52,5.75
82,Esperance,AU,1620875854,-33.8667,121.9,59.47,100,66,9.44
83,Touros,BR,1620875897,-5.1989,-35.4608,75.09,100,95,7.61
84,Bredasdorp,ZA,1620875851,-34.5322,20.0403,54.52,9,91,4.14
85,Porto-Novo,BJ,1620876233,6.4965,2.6036,82.18,50,85,5.61
86,Clyde River,CA,1620875856,70.4692,-68.5914,27.37,100,93,1.59
87,Namie,JP,1620876234,37.4833,141.0,70.83,63,72,18.07
88,Eirunepé,BR,1620875880,-6.6603,-69.8736,73.04,99,98,1.74
89,Helong,CN,1620876234,42.5397,128.9972,68.85,100,30,8.84
90,Road Town,VG,1620876234,18.4167,-64.6167,80.6,100,75,19.48
91,Tagusao,PH,1620876234,9.1924,117.8141,87.93,52,66,6.85
92,Pisco,PE,1620875919,-13.7,-76.2167,64.9,0,88,11.5
93,Kindersley,CA,1620876235,51.4668,-109.1682,49.15,40,35,9.22
94,Sept-Îles,CA,1620876235,50.2001,-66.3821,42.01,75,73,1.01
95,Yellowknife,CA,1620875883,62.456,-114.3525,49.93,75,50,8.05
96,Port Hawkesbury,CA,1620875582,45.6169,-61.3485,38.59,60,89,4.0
97,Castro,BR,1620875848,-24.7911,-50.0119,53.17,100,98,6.53
98,Airai,TL,1620875934,-8.9266,125.4092,71.85,40,60,5.35
99,Cherskiy,RU,1620875861,68.75,161.3,25.81,97,82,4.12
100,Puerto Ayora,EC,1620875866,-0.7393,-90.3518,75.34,15,93,4.0
101,Asău,RO,1620876236,46.4333,26.4,46.24,93,65,4.09
102,Kruisfontein,ZA,1620875842,-34.0033,24.7314,51.53,3,83,3.6
103,Ust'-Omchug,RU,1620876236,61.15,149.6333,42.03,99,66,10.0
104,Mahébourg,MU,1620875913,-20.4081,57.7,75.72,40,83,11.5
105,Catalina,US,1620876237,32.5056,-110.9211,76.82,0,11,7.2
106,Haukipudas,FI,1620876237,65.1765,25.3523,51.71,71,88,6.6
107,Aswān,EG,1620876237,24.0934,32.907,76.28,0,18,7.56
108,São Filipe,CV,1620875880,14.8961,-24.4956,76.01,2,67,8.55
109,Takaka,NZ,1620876238,-40.85,172.8,53.87,3,55,4.79
110,Agüimes,ES,1620876238,27.9054,-15.4461,62.92,20,68,21.85
111,Jamestown,US,1620875851,42.097,-79.2353,41.77,1,62,1.01
112,Longyearbyen,SJ,1620875712,78.2186,15.6401,9.68,7,84,0.94
113,Pilibanga,IN,1620876239,29.4916,74.079,90.28,5,36,13.38
114,Conde,BR,1620876239,-7.2597,-34.9075,73.92,75,93,7.45
115,Tiksi,RU,1620875842,71.6872,128.8694,27.57,99,74,4.85
116,Alofi,NU,1620875885,-19.0595,-169.9187,78.01,75,89,11.5
117,San Patricio,US,1620875941,28.017,-97.5169,76.82,79,80,10.71
118,Mtimbira,TZ,1620876240,-8.7833,36.35,63.52,99,88,1.83
119,Provideniya,RU,1620875868,64.3833,-173.3,35.55,90,87,13.42
120,Port Elizabeth,ZA,1620875924,-33.918,25.5701,45.99,0,93,2.3
121,Hithadhoo,MV,1620875865,-0.6,73.0833,79.66,100,87,16.78
122,Khatanga,RU,1620875736,71.9667,102.5,31.53,100,98,11.56
123,Sakaiminato,JP,1620875990,35.55,133.2333,76.95,75,53,11.5
124,Rewa,IN,1620876241,24.5333,81.3,81.57,93,53,7.43
125,Assiut,EG,1620875951,27.181,31.1837,71.98,0,23,4.43
126,Nosy Varika,MG,1620876083,-20.5833,48.5333,68.25,24,91,5.61
127,Torbay,CA,1620875846,47.6666,-52.7314,40.15,90,86,14.97
128,Palu,ID,1620876241,-0.8917,119.8707,91.54,72,57,1.92
129,Port Macquarie,AU,1620875671,-31.4333,152.9167,72.88,0,64,8.9
130,Tasiilaq,GL,1620875847,65.6145,-37.6368,24.35,55,92,3.89
131,Gamba,GA,1620876242,-2.65,10.0,78.4,100,90,3.67
132,Grindavik,IS,1620875897,63.8424,-22.4338,39.09,75,69,5.26
133,Yulara,AU,1620876130,-25.2406,130.9889,67.46,0,33,9.22
134,Roald,NO,1620875988,62.5833,6.1333,46.99,90,93,17.27
135,Mēga,ET,1620876242,4.05,38.3,58.24,100,88,8.01
136,Ampanihy,MG,1620876242,-24.7,44.75,63.03,32,99,5.03
137,Keïta,NE,1620876243,14.7551,5.7749,86.7,0,12,6.08
138,Klaksvík,FO,1620876243,62.2266,-6.589,38.91,100,77,20.83
139,South Kazakhstan Region,KZ,1620876243,43.0,68.0,68.95,0,21,30.4
140,Roxana,CR,1620876243,10.2753,-83.7513,72.19,100,97,2.66
141,Itaocara,BR,1620876244,-21.6692,-42.0761,65.19,59,87,1.9
142,São Lourenço do Oeste,BR,1620876244,-26.3592,-52.8511,46.51,0,95,3.98
143,George Town,MY,1620875848,5.4112,100.3354,89.49,20,76,3.44
144,Adrian,US,1620876244,41.8975,-84.0372,49.01,1,62,1.01
145,Severo-Kuril'sk,RU,1620875871,50.6789,156.125,38.05,21,75,15.84
146,Constantine,DZ,1620876245,36.365,6.6147,43.05,0,87,1.14
147,São João do Piauí,BR,1620876245,-8.3581,-42.2467,80.22,100,55,7.38
148,Lebanon,US,1620876245,36.2081,-86.2911,53.47,40,54,3.44
149,Kudahuvadhoo,MV,1620876073,2.6708,72.8944,81.41,100,81,18.28
150,Butaritari,KI,1620875863,3.0707,172.7902,82.81,24,77,14.43
151,Fortuna,US,1620875913,40.5982,-124.1573,51.66,90,63,1.01
152,Bathsheba,BB,1620875932,13.2167,-59.5167,78.8,75,76,16.98
153,Lagunas,PE,1620876246,-5.2269,-75.6753,72.21,26,98,1.57
154,Volodarskiy,RU,1620876246,46.4013,48.5409,57.45,0,63,2.66
155,Itarema,BR,1620876246,-2.9248,-39.9167,77.54,77,87,4.59
156,Honiara,SB,1620875804,-9.4333,159.95,85.87,9,66,6.08
157,Obihiro,JP,1620875968,42.9172,143.2044,44.08,100,75,4.59
158,Khanbari,NP,1620876247,27.3747,87.2039,64.29,100,89,2.19
159,West Bay,KY,1620876247,19.3667,-81.4167,82.4,20,76,9.17
160,Illapel,CL,1620876248,-31.6308,-71.1653,62.19,79,55,0.18
161,Namtsy,RU,1620875880,62.7161,129.6658,54.46,90,42,6.17
162,Bengkulu,ID,1620875859,-3.8004,102.2655,84.18,63,69,2.51
163,Lixouri,GR,1620876249,38.2019,20.4314,60.82,4,80,2.28
164,Ahipara,NZ,1620875890,-35.1667,173.1667,64.17,17,59,5.08
165,Lorengau,PG,1620875915,-2.0226,147.2712,82.13,93,80,3.78
166,Naryan-Mar,RU,1620876249,67.6713,53.087,38.34,100,73,8.03
167,Zhigansk,RU,1620875931,66.7697,123.3711,37.74,6,50,4.81
168,Silifke,TR,1620876250,36.3778,33.9344,66.87,8,61,2.62
169,Oddur,SO,1620876250,4.1213,43.8894,71.01,92,75,14.32
170,Denpasar,ID,1620876160,-8.65,115.2167,85.62,20,65,13.24
171,Swellendam,ZA,1620876250,-34.0226,20.4417,53.78,4,89,2.8
172,Luanda,AO,1620875926,-8.8368,13.2343,76.12,75,94,2.3
173,Kumluca,TR,1620876251,36.3703,30.2869,66.36,61,71,2.68
174,Mar del Plata,AR,1620875871,-38.0023,-57.5575,57.83,0,82,1.99
175,Riyadh,SA,1620876082,24.6877,46.7219,82.47,75,12,13.8
176,Bilma,NE,1620875860,18.6853,12.9164,89.37,5,10,7.7
177,Payakumbuh,ID,1620876251,-0.2202,100.6308,84.15,87,65,2.82
178,Malanville,BJ,1620876251,11.8685,3.3899,84.9,88,53,11.97
179,Manado,ID,1620876252,1.487,124.8455,91.18,20,67,3.04
180,Gajendragarh,IN,1620876252,15.7333,75.9833,81.43,100,66,8.79
181,Arrondissement de Vannes,FR,1620876252,47.8333,-2.5,52.05,77,89,12.15
182,Oriximiná,BR,1620876252,-1.7656,-55.8661,74.79,100,94,3.91
183,Barrow,US,1620875773,71.2906,-156.7887,17.58,90,79,16.11
184,Hambantota,LK,1620875894,6.1241,81.1185,83.7,100,76,13.2
185,Leningradskiy,RU,1620875873,69.3833,178.4167,33.21,100,96,2.82
186,Galeana,MX,1620876253,24.8333,-100.0667,40.39,95,96,4.88
187,High Level,CA,1620875741,58.5169,-117.136,51.58,75,90,3.4
188,Cockburn Town,TC,1620876253,21.4612,-71.1419,78.93,1,80,22.12
189,Eyl,SO,1620876254,7.9803,49.8164,80.28,99,75,16.98
190,St. George's,GD,1620875878,12.0564,-61.7485,78.58,41,74,16.37
191,Tilichiki,RU,1620875922,60.4667,166.1,31.26,60,94,6.8
192,Pec,XK,1620876254,42.6591,20.2883,40.37,61,67,4.68
193,Bongandanga,CD,1620876254,1.5,21.05,68.59,100,99,0.94
194,Sovetskiy,RU,1620876254,61.3614,63.5842,63.66,29,61,11.52
195,Namatanai,PG,1620875910,-3.6667,152.4333,85.03,5,67,8.5
196,Benghazi,LY,1620876255,32.1167,20.0667,66.07,0,78,10.69
197,Azle,US,1620876255,32.8951,-97.5459,59.49,90,87,6.53
198,Tupik,RU,1620875872,54.4253,119.9327,40.51,100,79,4.38
199,Barcelos,PT,1620876028,41.5388,-8.6151,58.51,99,93,6.35
200,Vanavara,RU,1620876255,60.34,102.2797,46.72,7,36,4.52
201,Tevriz,RU,1620876256,57.509,72.4042,46.08,100,77,3.62
202,Praia,CV,1620876256,14.9215,-23.5087,71.35,0,78,13.8
203,Manakara,MG,1620876257,-22.1333,48.0167,66.6,15,94,4.05
204,Punto Fijo,VE,1620876257,11.6956,-70.1996,78.8,70,83,27.22
205,Port-Cartier,CA,1620876258,50.0334,-66.8654,41.68,78,75,6.35
206,Muisne,EC,1620876258,0.6,-80.0333,75.29,69,84,4.05
207,Aklavik,CA,1620875921,68.2191,-135.0107,24.73,100,74,8.77
208,Faya,SA,1620875933,18.3851,42.4509,40.51,12,45,2.98
209,Nanortalik,GL,1620875795,60.1432,-45.2371,40.03,5,70,6.98
210,Thompson,CA,1620875876,55.7435,-97.8558,38.62,75,65,6.91
211,Marystown,CA,1620876259,47.1666,-55.1483,38.73,74,86,13.94
212,Nishihara,JP,1620876259,26.1842,127.7558,85.23,40,80,11.88
213,Karratha,AU,1620875858,-20.7377,116.8463,87.78,0,29,14.23
214,Adrar,MR,1620875980,20.5022,-10.0711,78.64,1,15,10.54
215,Aleksandrov Gay,RU,1620875890,50.147,48.5704,62.89,100,77,12.8
216,Te Anau,NZ,1620875909,-45.4167,167.7167,52.25,0,63,2.51
217,Faanui,PF,1620875886,-16.4833,-151.75,82.36,100,78,16.93
218,Solnechnyy,RU,1620876260,50.7214,136.6319,46.18,100,95,6.6
219,Bambous Virieux,MU,1620875607,-20.3428,57.7575,75.69,19,78,14.7
220,Campo Grande,BR,1620876017,-20.4428,-54.6464,57.45,75,88,6.91
221,Antofagasta,CL,1620876140,-23.65,-70.4,60.51,88,80,4.0
222,Ierapetra,GR,1620876260,35.01,25.7353,61.99,0,59,5.86
223,Mungwi,ZM,1620876260,-10.1732,31.3694,51.31,8,96,3.09
224,Mnogovershinnyy,RU,1620876261,53.9353,139.9242,57.56,0,39,4.68
225,Iluppūr,IN,1620876261,10.5135,78.6236,86.14,100,67,3.8
226,Maydolong,PH,1620876261,11.4992,125.5011,84.24,33,76,10.94
227,Carnarvon,AU,1620875815,-24.8667,113.6333,86.0,0,39,11.5
228,Saldanha,ZA,1620875930,-33.0117,17.9442,47.86,0,88,3.91
229,Nikolskoye,RU,1620875920,59.7035,30.7861,57.61,8,79,5.91
230,Panzhihua,CN,1620875988,26.5851,101.7128,82.58,17,36,1.99
231,Bourail,NC,1620876262,-21.5667,165.4833,80.1,100,65,7.49
232,Manggar,ID,1620876262,-2.8833,108.2667,80.24,100,87,9.13
233,Potsdam,DE,1620876203,52.3989,13.0657,53.62,100,95,4.0
234,Constitución,CL,1620875930,-35.3333,-72.4167,55.08,95,55,4.5
235,Port Alfred,ZA,1620875836,-33.5906,26.891,59.22,0,76,6.67
236,Mawlaik,MM,1620876262,23.6333,94.4167,88.39,57,51,1.1
237,Khovd,MN,1620875889,48.0056,91.6419,49.19,69,34,10.02
238,Kavieng,PG,1620875902,-2.5744,150.7967,84.78,9,69,6.46
239,Ginda,IN,1620876263,30.6945,78.4932,63.34,100,63,1.32
240,Kushālgarh,IN,1620876263,23.199,74.4507,86.81,0,37,12.93
241,Trofors,NO,1620876263,65.5333,13.4063,43.95,100,98,3.2
242,Jackson,US,1620876264,42.4165,-122.8345,74.03,1,21,9.22
243,Nevel',RU,1620876264,56.0209,29.9284,49.06,99,92,11.9
244,Daru,PG,1620876264,-9.0763,143.2092,83.93,93,75,10.38
245,Pathein,MM,1620875966,16.7833,94.7333,92.48,38,50,7.83
246,Kolpashevo,RU,1620876264,58.3131,82.9089,54.1,100,66,8.99
247,Jimma,ET,1620876265,7.6667,36.8333,58.19,99,96,1.23
248,Srednekolymsk,RU,1620876265,67.45,153.6833,30.56,92,86,7.9
249,Makakilo City,US,1620875762,21.3469,-158.0858,80.91,20,51,14.97
250,Talakan,RU,1620876266,50.3167,130.3667,52.12,100,84,11.01
251,Meulaboh,ID,1620875918,4.1363,96.1285,84.45,55,74,1.5
252,Durango,MX,1620876153,24.8333,-104.8333,70.84,91,40,8.63
253,Tomé,CL,1620876267,-36.6167,-72.95,46.87,99,60,2.55
254,Manta,EC,1620876267,-0.95,-80.7333,74.8,20,78,5.75
255,Laguna,US,1620875797,38.421,-121.4238,85.91,1,38,4.0
256,Callaway,US,1620876267,30.153,-85.5699,75.11,75,74,3.0
257,Sombrio,BR,1620876268,-29.1139,-49.6167,52.63,2,85,5.01
258,Suntar,RU,1620876268,62.1444,117.6319,48.9,0,33,5.84
259,Puerto Escondido,MX,1620875866,15.85,-97.0667,83.48,57,79,4.07
260,Dikson,RU,1620875640,73.5069,80.5464,29.26,83,85,13.09
261,Salalah,OM,1620875898,17.0151,54.0924,82.24,40,83,3.44
262,Tura,IN,1620875706,25.5198,90.2201,81.01,2,58,2.44
263,Tommot,RU,1620876269,58.9564,126.2925,41.27,100,98,1.81
264,Nemuro,JP,1620875712,43.3236,145.575,46.11,100,93,18.23
265,Mehamn,NO,1620876269,71.0357,27.8492,39.96,93,95,8.72
266,Tarakan,ID,1620876269,3.3,117.6333,85.44,40,79,5.75
267,Lompoc,US,1620875734,34.6391,-120.4579,59.65,90,88,3.44
268,Huarmey,PE,1620875963,-10.0681,-78.1522,66.76,7,84,5.91
269,Anadyr,RU,1620875943,64.75,177.4833,33.8,75,98,21.99
270,Ust-Maya,RU,1620876270,60.4167,134.5333,49.91,100,81,7.27
271,Timbiquí,CO,1620876270,2.7717,-77.6654,75.58,99,95,3.47
272,Blagoyevo,RU,1620876270,63.3667,47.9167,62.19,51,62,5.12
273,Mairana,BO,1620876270,-18.1167,-63.9333,48.2,100,97,1.52
274,Labytnangi,RU,1620876271,66.6572,66.4183,39.02,100,66,7.61
275,Locri,IT,1620876271,38.2414,16.2623,62.82,33,76,13.2
276,Kushima,JP,1620876272,31.4583,131.2333,71.56,100,81,6.67
277,Kisesa,TZ,1620876272,-3.0833,34.15,59.16,88,89,6.58
278,Bolobo,CD,1620876272,-2.1667,16.2333,73.15,3,80,1.52
279,Āsosa,ET,1620876272,10.0667,34.5333,61.52,98,86,3.89
280,Beringovskiy,RU,1620875886,63.05,179.3167,32.38,100,99,6.4
281,Tucumã,BR,1620876127,-0.1833,-50.05,74.01,100,97,2.64
282,Vilhena,BR,1620876273,-12.7406,-60.1458,67.15,73,77,2.86
283,Lüderitz,NA,1620875962,-26.6481,15.1594,67.64,0,43,7.14
